Geography,Area,Area code,Year,theme,Mean disposable household income,Income 1st quintile,Income 2nd quintile,Income 3rd quintile,Income 4th quintile,Income 5th quintile,Gini coefficient,Gini coefficient capital,% Minimum income households (130% sm and little capital),% Long-time minimum income (130% sm and little capital),% Low income households (130% sm),% Minimum income youth (130% sm and little capital),% Minimum income 18-65 (130% sm and little capital),% Minimum income 66+ (130% sm and little capital),% Long-time minimum income youth (130% sm and little capital),Househoulds children social welfare benefits,% Househoulds children social welfare benefits,Disability benefits,Disability benefits (%),Unemployment benefits,Unemployment benefits (%),% economically independent men,% economically indepdent women,Social welfare,Social welfare (%)
Wijken,De Kolenkit,ED,2021,Income,40500,30,22,19,15,14,0.337,0.832,22,14,26,27,16,47,17,210,18.2,500,6,240,2.9,62,52,-,-
Wijken,Landlust,EE,2021,Income,41500,30,22,18,15,15,0.347,0.807,21,13,24,27,15,41,18,290,15.7,830,5.6,480,3.2,65,58,-,-
Wijken,Erasmuspark,EF,2021,Income,45700,22,20,20,19,18,0.328,0.712,12,8,15,16,8,36,11,40,7.9,190,4,180,3.8,74,68,-,-
Wijken,Centrale Markt,EG,2021,Income,49500,24,18,20,17,22,0.364,0.697,13,9,18,11,8,27,9,20,9.1,90,4.8,60,3.2,68,63,-,-
Wijken,Staatsliedenbuurt,EH,2021,Income,43900,31,20,18,15,16,0.383,0.79,18,10,24,17,13,34,9,125,11.5,490,4.8,360,3.5,67,65,-,-
Wijken,Frederik Hendrikbuurt,EJ,2021,Income,45100,31,19,17,15,18,0.394,0.801,16,9,22,13,11,26,7,45,7.5,310,4.7,230,3.5,69,67,-,-
Wijken,Van Galenbuurt,EK,2021,Income,37600,35,22,18,13,11,0.339,0.816,24,16,29,33,18,44,22,95,20.2,310,4.6,220,3.3,64,60,-,-
Wijken,Geuzenbuurt,EL,2021,Income,46800,25,19,19,17,20,0.361,0.785,13,8,18,15,9,28,10,50,8.8,180,3.3,170,3.1,74,69,-,-
Wijken,Hoofdweg e.o.,EM,2021,Income,42100,32,23,17,14,14,0.381,0.842,20,13,25,25,14,42,17,135,15,460,5.6,310,3.8,66,63,-,-
Wijken,Chassébuurt,EN,2021,Income,45300,28,21,17,15,19,0.373,0.816,19,12,24,21,14,36,14,80,12.5,260,5.5,170,3.6,65,59,-,-
Wijken,Bellamybuurt,EP,2021,Income,46900,28,20,16,15,20,0.397,0.816,14,8,20,14,10,27,9,40,8.3,220,4,170,3.1,72,69,-,-
Wijken,Da Costabuurt,EQ,2021,Income,49800,27,19,16,15,22,0.406,0.794,11,5,18,9,7,22,5,15,4.5,120,3.3,110,3,74,69,-,-
Wijken,Westindische Buurt,ER,2021,Income,50500,25,19,17,17,23,0.384,0.798,11,6,16,10,7,21,7,40,6.4,210,3.9,180,3.3,76,71,-,-
Wijken,Van Lennepbuurt,ES,2021,Income,40100,38,20,17,12,13,0.391,0.825,22,14,29,24,16,37,15,75,16.3,330,6.1,190,3.5,64,61,-,-
Wijken,Overtoomse Sluis,ET,2021,Income,54100,24,19,16,16,25,0.419,0.783,10,5,15,6,6,20,4,20,3.2,270,4.2,200,3.1,75,70,-,-
Wijken,Helmersbuurt,EU,2021,Income,56400,26,18,17,15,25,0.453,0.799,11,5,17,3,7,16,1,15,2.5,190,3.3,170,2.9,71,68,-,-
Wijken,Vondelparkbuurt,EV,2021,Income,103600,23,18,15,12,32,0.656,0.838,9,5,14,8,7,9,7,-,-,30,2.4,20,1.6,66,60,-,-
Wijken,Sloterdijk Nieuw-West,FA,2021,Income,25000,55,28,9,6,2,0.338,0.907,25,10,27,-,22,-,-,-,-,-,-,30,3.6,51,52,-,-
Wijken,Geuzenveld,FB,2021,Income,40100,30,22,19,17,13,0.333,0.806,22,12,27,19,15,30,13,295,12,1090,8.5,330,2.6,59,45,-,-
